index,transactions,total_spend,avg_bill_value,qty_per_order,mtbp,life_time,cltv,basket_size_s,basket_size_m,basket_size_l,basket_price_sensitivity_la,basket_price_sensitivity_mm,basket_price_sensitivity_um,basket_price_sensitivity_na,basket_type_smallshop,basket_type_topup,basket_type_fullshop,basket_type_na,basket_dominant_fresh,basket_dominant_mixed,basket_dominant_grocery,basket_dominant_nonfood,label
CUST0000007392,8,85.8,10.725,13,88,739,7925.775,0.125,0.375,0.5,0,0.625,0.375,0,0.25,0.375,0.375,0,0.25,0.75,0,0,1
CUST0000007712,10,94.28,9.428,6.1,60.4,643,6062.204,0.5,0.4,0.1,0,0.9,0,0.1,0.9,0.1,0,0,0.5,0.2,0.2,0.1,2
CUST0000007759,3,8.15,2.716666667,2,138,600,1630,0.666666667,0.333333333,0,0,1,0,0,1,0,0,0,0.666666667,0,0.333333333,0,2
CUST0000007860,44,2448.47,55.64704545,40.43181818,15.97727273,717,39898.93159,0.022727273,0,0.977272727,0.954545455,0.045454545,0,0,0.022727273,0.295454545,0.681818182,0,0.590909091,0.386363636,0.022727273,0,3
CUST0000007939,10,123.19,12.319,9.7,76.1,772,9510.268,0.3,0.3,0.4,0.1,0.3,0.6,0,0.6,0.4,0,0,0.6,0.1,0.2,0.1,1
CUST0000007960,2,46.04,23.02,12.5,10.5,122,2808.44,0,0,1,0,1,0,0,0,1,0,0,0,0.5,0.5,0,1
CUST0000008415,378,4365.79,11.54970899,11.93121693,2.156084656,820,9470.761376,0.058201058,0.304232804,0.637566138,0.105820106,0.600529101,0.283068783,0.010582011,0.227513228,0.735449735,0.029100529,0.007936508,0.616402116,0.301587302,0.066137566,0.007936508,1
CUST0000009685,1,0.46,0.46,2,0,442,203.32,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2
CUST0000010267,3,101.45,33.81666667,33,221,752,25430.13333,0,0.333333333,0.666666667,1,0,0,0,0.333333333,0,0.666666667,0,0,0.666666667,0.333333333,0,3
CUST0000011202,3,312.75,104.25,51.66666667,41,204,21267,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3
CUST0000011715,1,0.98,0.98,1,0,516,505.68,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
CUST0000012035,3,28.15,9.383333333,5,2,541,5076.383333,0,1,0,0.666666667,0.333333333,0,0,0.666666667,0.333333333,0,0,0.333333333,0,0,0.666666667,1
CUST0000012198,5,7.43,1.486,2.6,68.4,649,964.414,0.4,0.6,0,0.4,0.2,0.4,0,1,0,0,0,0.6,0.2,0.2,0,2
CUST0000012784,39,1633.29,41.87923077,27.33333333,20.33333333,798,33419.62615,0.025641026,0.128205128,0.846153846,0.025641026,0.820512821,0.153846154,0,0.051282051,0.461538462,0.487179487,0,0.435897436,0.487179487,0.025641026,0.051282051,3
CUST0000013258,26,73.03,2.808846154,3.384615385,29.65384615,802,2252.694615,0.538461538,0.423076923,0.038461538,0.076923077,0.769230769,0.153846154,0,0.692307692,0.307692308,0,0,0.423076923,0.307692308,0.076923077,0.192307692,2
CUST0000015258,1,0.68,0.68,1,0,716,486.88,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2
CUST0000015935,19,110.88,5.835789474,6.789473684,41.78947368,810,4726.989474,0.473684211,0.157894737,0.368421053,0.157894737,0.789473684,0.052631579,0,0.473684211,0.526315789,0,0,0.315789474,0.210526316,0.473684211,0,1
CUST0000016396,2,0.02,0.01,1,54.5,366,3.66,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2
CUST0000016404,81,1627.11,20.08777778,15.2962963,7.222222222,595,11952.22778,0.271604938,0.234567901,0.49382716,0.580246914,0.320987654,0.086419753,0.012345679,0.444444444,0.234567901,0.320987654,0,0.271604938,0.345679012,0.333333333,0.049382716,1
CUST0000016683,1,9.3,9.3,3,0,111,1032.3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2
CUST0000016697,7,88.86,12.69428571,11.28571429,68.28571429,719,9127.191429,0.285714286,0.142857143,0.571428571,0.142857143,0.714285714,0.142857143,0,0.285714286,0.428571429,0.285714286,0,0.571428571,0.285714286,0.142857143,0,1
CUST0000017325,174,2926.14,16.81689655,10.54022989,4.620689655,808,13588.05241,0.109195402,0.408045977,0.482758621,0.137931034,0.655172414,0.201149425,0.005747126,0.362068966,0.528735632,0.103448276,0.005747126,0.563218391,0.298850575,0.103448276,0.028735632,1
CUST0000017569,1,3.69,3.69,4,0,148,546.12,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
CUST0000017570,6,421.01,70.16833333,40.66666667,95.16666667,781,54801.46833,0,0.166666667,0.833333333,0.333333333,0.666666667,0,0,0,0.333333333,0.666666667,0,0.166666667,0.666666667,0.166666667,0,3
CUST0000018464,5,10.35,2.07,2.4,66.4,436,902.52,0.4,0.6,0,0,1,0,0,1,0,0,0,0.2,0,0.8,0,2
CUST0000018509,1,49.85,49.85,25,0,137,6829.45,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3
CUST0000018748,1,0.51,0.51,1,0,343,174.93,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2
CUST0000019198,10,153.97,15.397,8.2,79.7,817,12579.349,0.3,0.4,0.3,0.1,0.5,0.2,0.2,0.6,0.3,0.1,0,0.3,0.3,0.2,0.2,1
CUST0000019732,16,247.62,15.47625,18.125,29.75,514,7954.7925,0.1875,0.3125,0.5,0.1875,0.625,0.125,0.0625,0.5,0.125,0.3125,0.0625,0.4375,0.1875,0.3125,0,1
CUST0000021161,52,1928.59,37.08826923,23.38461538,15.42307692,817,30301.11596,0,0,1,0,0.711538462,0.288461538,0,0,0.076923077,0.923076923,0,0.346153846,0.634615385,0.019230769,0,3
CUST0000021218,214,1723.07,8.051728972,5.322429907,3.794392523,817,6578.26257,0.219626168,0.663551402,0.11682243,0.177570093,0.602803738,0.219626168,0,0.644859813,0.336448598,0.018691589,0,0.457943925,0.322429907,0.177570093,0.042056075,1
CUST0000022116,20,47.66,2.383,3.05,31,715,1703.845,0.45,0.55,0,0.15,0.75,0.1,0,1,0,0,0,0.75,0.1,0.15,0,2
CUST0000022350,1,0.97,0.97,1,0,686,665.42,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2
CUST0000022777,2,5.22,2.61,2.5,0.5,199,519.39,0.5,0.5,0,0,1,0,0,1,0,0,0,0.5,0,0.5,0,2
CUST0000023030,1,9.88,9.88,8,0,362,3576.56,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
CUST0000023689,2,19.88,9.94,11,12.5,128,1272.32,0.5,0,0.5,0,1,0,0,0.5,0.5,0,0,1,0,0,0,1
CUST0000025370,2,24.92,12.46,10,24.5,233,2903.18,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0,0,1,0,0,0,1
CUST0000025691,3,46.04,15.34666667,13.66666667,15.33333333,155,2378.733333,0.666666667,0,0.333333333,0,0.666666667,0.333333333,0,0.666666667,0.333333333,0,0,0.666666667,0,0.333333333,0,2
CUST0000025746,8,51.09,6.38625,2.875,45.25,479,3059.01375,0.375,0.625,0,0,0.5,0.375,0.125,0.875,0,0,0.125,0.5,0,0.25,0.125,2
CUST0000025794,3,9.42,3.14,3.333333333,198.6666667,667,2094.38,0,1,0,0,0.666666667,0.333333333,0,1,0,0,0,0.333333333,0,0.666666667,0,2
CUST0000025985,1,0.98,0.98,1,0,327,320.46,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
CUST0000026017,1,2.03,2.03,5,0,105,213.15,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
CUST0000026371,4,137.76,34.44,21.75,20,407,14017.08,0,0,1,0,1,0,0,0,0.25,0.75,0,0.5,0.5,0,0,3
CUST0000026634,2,16.98,8.49,7,170,738,6265.62,0,1,0,0,1,0,0,0,1,0,0,0.5,0.5,0,0,1
CUST0000027496,2,3.38,1.69,2,133,352,594.88,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2
CUST0000028248,3,13.3,4.433333333,4,18.33333333,410,1817.666667,0.666666667,0.333333333,0,0,1,0,0,1,0,0,0,0.333333333,0.333333333,0,0.333333333,2
CUST0000028322,35,99.9,2.854285714,3.2,7.8,289,824.8885714,0.457142857,0.542857143,0,0.114285714,0.628571429,0.2,0.057142857,0.885714286,0.057142857,0,0.057142857,0.6,0.057142857,0.285714286,0,2
CUST0000028656,3,29.49,9.83,12.33333333,80.66666667,328,3224.24,0.333333333,0,0.666666667,0,1,0,0,0.333333333,0.666666667,0,0,0,0.666666667,0,0.333333333,1
CUST0000029089,28,479.04,17.10857143,15.71428571,23.67857143,720,12318.17143,0.107142857,0.285714286,0.607142857,0.107142857,0.464285714,0.285714286,0.142857143,0.25,0.5,0.107142857,0.142857143,0.535714286,0.214285714,0.107142857,0,1
CUST0000029230,1,2.39,2.39,1,0,277,662.03,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
CUST0000029792,14,24.48,1.748571429,2.571428571,51.85714286,734,1283.451429,0.642857143,0.285714286,0.071428571,0.285714286,0.357142857,0.285714286,0.071428571,0.857142857,0.071428571,0,0.071428571,0.571428571,0.142857143,0.214285714,0,2
CUST0000030075,3,3.62,1.206666667,1.666666667,170,530,639.5333333,1,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0.333333333,0.666666667,2
CUST0000030095,10,49.97,4.997,5.3,59.6,604,3018.188,0.4,0.4,0.2,0.1,0.6,0.1,0.2,0.5,0.5,0,0,0.3,0.3,0.1,0.3,1
CUST0000030542,1,9.15,9.15,5,0,397,3632.55,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
CUST0000030592,3,32.74,10.91333333,8.666666667,49.66666667,204,2226.32,0,0.666666667,0.333333333,0.333333333,0.666666667,0,0,0.666666667,0.333333333,0,0,0.666666667,0.333333333,0,0,1
CUST0000030719,10,74.8,7.48,8,38.2,566,4233.68,0.5,0.3,0.2,0.3,0.6,0.1,0,0.6,0.4,0,0,0.4,0.3,0.2,0.1,1
CUST0000030827,1,51.52,51.52,41,0,573,29520.96,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,3
CUST0000031233,26,100.6,3.869230769,4.307692308,30.11538462,788,3048.953846,0.153846154,0.807692308,0.038461538,0.038461538,0.846153846,0.115384615,0,0.961538462,0.038461538,0,0,0.884615385,0.038461538,0.076923077,0,2
CUST0000031949,2,2.16,1.08,1,143,317,342.36,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
CUST0000032037,121,1850.71,15.29512397,11.16528926,6.570247934,821,12557.29678,0.132231405,0.330578512,0.537190083,0.033057851,0.743801653,0.223140496,0,0.305785124,0.553719008,0.140495868,0,0.545454545,0.247933884,0.140495868,0.066115702,1
CUST0000032179,12,73.48,6.123333333,5.25,64.58333333,792,4849.68,0.333333333,0.583333333,0.083333333,0.083333333,0.666666667,0.166666667,0.083333333,0.75,0.166666667,0,0.083333333,0.25,0.333333333,0.333333333,0,2
CUST0000033021,26,266.76,10.26,9,25.42307692,677,6946.02,0.230769231,0.5,0.269230769,0.307692308,0.576923077,0.115384615,0,0.653846154,0.269230769,0.076923077,0,0.692307692,0.307692308,0,0,1
CUST0000034413,6,6.33,1.055,1.333333333,97,606,639.33,1,0,0,0,1,0,0,1,0,0,0,0.166666667,0.166666667,0.166666667,0.5,2
CUST0000034506,1,1.67,1.67,1,0,505,843.35,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
CUST0000034681,6,27.53,4.588333333,2.333333333,49.5,341,1564.621667,0.333333333,0.666666667,0,0.166666667,0.833333333,0,0,1,0,0,0,0.166666667,0,0.833333333,0,2
CUST0000035164,3,79.37,26.45666667,21.66666667,215.6666667,726,19207.54,0,0.333333333,0.666666667,0,1,0,0,0.333333333,0,0.666666667,0,0,0,1,0,3
CUST0000035234,4,27.02,6.755,3.25,139.75,572,3863.86,0.75,0.25,0,0.5,0.5,0,0,0.75,0.25,0,0,0.75,0,0,0.25,2
CUST0000035278,3,49.91,16.63666667,15.33333333,169.3333333,589,9798.996667,0.333333333,0,0.666666667,0,0.666666667,0.333333333,0,0.333333333,0,0.666666667,0,0.666666667,0.333333333,0,0,3
CUST0000035890,84,647.23,7.705119048,6.857142857,5.333333333,460,3544.354762,0.357142857,0.404761905,0.238095238,0.333333333,0.547619048,0.119047619,0,0.69047619,0.238095238,0.071428571,0,0.428571429,0.297619048,0.226190476,0.047619048,1
CUST0000036040,2,48.1,24.05,12.5,187.5,569,13684.45,0.5,0,0.5,1,0,0,0,0.5,0,0.5,0,0,1,0,0,3
CUST0000036136,202,1869.02,9.252574257,8.292079208,4.00990099,820,7587.110891,0.108910891,0.504950495,0.386138614,0.084158416,0.336633663,0.579207921,0,0.440594059,0.554455446,0.004950495,0,0.678217822,0.272277228,0.034653465,0.014851485,1
CUST0000036238,2,75.18,37.59,31,85,778,29245.02,0,0,1,1,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,3
CUST0000036480,1,0.21,0.21,1,0,370,77.7,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2
CUST0000036515,3,11.87,3.956666667,2.666666667,174.3333333,560,2215.733333,0.666666667,0.333333333,0,1,0,0,0,1,0,0,0,0.666666667,0.333333333,0,0,2
CUST0000037123,210,2564.38,12.21133333,18.22857143,3.876190476,821,10025.50467,0.314285714,0.29047619,0.395238095,0.652380952,0.252380952,0.09047619,0.004761905,0.585714286,0.076190476,0.333333333,0.004761905,0.461904762,0.338095238,0.19047619,0.004761905,1
CUST0000038406,1,41.36,41.36,19,0,328,13566.08,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
CUST0000038488,7,5.85,0.835714286,1,70.57142857,537,448.7785714,1,0,0,0.285714286,0.714285714,0,0,1,0,0,0,0.285714286,0,0,0.714285714,2
CUST0000038546,23,1115.82,48.51391304,22.7826087,33.60869565,785,38083.42174,0.043478261,0.217391304,0.739130435,0.173913043,0.739130435,0.086956522,0,0.173913043,0.391304348,0.434782609,0,0.565217391,0.260869565,0.173913043,0,3
CUST0000038615,1,1.81,1.81,3,0,715,1294.15,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2
CUST0000038693,17,110.16,6.48,6.941176471,8.705882353,170,1101.6,0.529411765,0.176470588,0.294117647,0.058823529,0.352941176,0.588235294,0,0.529411765,0.470588235,0,0,0.588235294,0.352941176,0,0.058823529,1
CUST0000038720,6,71.6,11.93333333,5.833333333,122.1666667,749,8938.066667,0.5,0.166666667,0.333333333,0,1,0,0,0.666666667,0.333333333,0,0,0.666666667,0.166666667,0.166666667,0,2
CUST0000039309,4,94.38,23.595,27,54.75,225,5308.875,0,0,1,0,1,0,0,0,0,1,0,0.25,0.75,0,0,3
CUST0000039796,2,67.18,33.59,23,123.5,326,10950.34,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
CUST0000040538,1,0.86,0.86,1,0,141,121.26,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2
CUST0000040739,3,14.84,4.946666667,5.333333333,139,727,3596.226667,0.666666667,0,0.333333333,0.333333333,0.666666667,0,0,0.666666667,0.333333333,0,0,1,0,0,0,2
CUST0000041078,19,121.06,6.371578947,5.315789474,28.47368421,565,3599.942105,0.315789474,0.526315789,0.157894737,0.052631579,0.789473684,0.157894737,0,0.578947368,0.421052632,0,0,0.473684211,0.157894737,0.263157895,0.105263158,1
CUST0000041090,27,224.93,8.330740741,6.481481481,28.18518519,800,6664.592593,0.296296296,0.518518519,0.185185185,0.555555556,0.37037037,0,0.074074074,0.592592593,0.296296296,0.074074074,0.037037037,0.37037037,0.222222222,0.185185185,0.185185185,1
CUST0000041470,4,138.2,34.55,23.75,81.5,667,23044.85,0,0,1,0,0.75,0.25,0,0,0.75,0.25,0,0.75,0.25,0,0,3
CUST0000042176,18,46.13,2.562777778,2.944444444,42.38888889,819,2098.915,0.611111111,0.388888889,0,0.444444444,0.444444444,0.111111111,0,0.888888889,0.111111111,0,0,0.666666667,0.166666667,0.055555556,0.111111111,2
CUST0000042205,1,0.25,0.25,1,0,265,66.25,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2
CUST0000042901,1,46.57,46.57,22,0,680,31667.6,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,3
CUST0000043221,1,15.14,15.14,13,0,314,4753.96,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
CUST0000043264,10,66.64,6.664,6,30.2,608,4051.712,0.2,0.6,0.2,0.8,0.1,0,0.1,0.5,0.5,0,0,0.3,0.3,0.3,0.1,1
CUST0000043270,1,2.38,2.38,2,0,710,1689.8,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2
CUST0000043541,17,221.06,13.00352941,9.235294118,37.76470588,728,9466.569412,0.058823529,0.411764706,0.529411765,0,0.411764706,0.588235294,0,0.294117647,0.705882353,0,0,0.647058824,0.352941176,0,0,1
CUST0000043884,5,11.14,2.228,2.6,51.6,447,995.916,0.8,0.2,0,0,0.6,0.2,0.2,1,0,0,0,0.4,0.2,0.2,0.2,2
CUST0000044205,1,4.46,4.46,6,0,821,3661.66,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
CUST0000044707,37,120.1,3.245945946,3.837837838,19.89189189,747,2424.721622,0.378378378,0.621621622,0,0.108108108,0.567567568,0.324324324,0,0.72972973,0.27027027,0,0,0.72972973,0.216216216,0.027027027,0.027027027,1
CUST0000044880,43,2036.26,47.35488372,29.79069767,18.30232558,801,37931.26186,0.069767442,0.093023256,0.837209302,0.046511628,0.418604651,0.534883721,0,0.162790698,0.325581395,0.511627907,0,0.651162791,0.302325581,0.023255814,0.023255814,3
CUST0000045324,2,6.69,3.345,2.5,0.5,621,2077.245,0.5,0.5,0,0,0.5,0.5,0,1,0,0,0,0,0.5,0.5,0,2
CUST0000045491,6,53.72,8.953333333,6.666666667,112.1666667,743,6652.326667,0.166666667,0.5,0.333333333,0.5,0,0.5,0,0.666666667,0.333333333,0,0,0.833333333,0.166666667,0,0,1
CUST0000045545,19,337.64,17.77052632,11.05263158,38.26315789,743,13203.50105,0.315789474,0.263157895,0.421052632,0.210526316,0.684210526,0.105263158,0,0.578947368,0.210526316,0.210526316,0,0.473684211,0.315789474,0.157894737,0.052631579,1
CUST0000045579,2,4.8,2.4,2.5,0,402,964.8,0.5,0.5,0,0,1,0,0,1,0,0,0,0,0.5,0.5,0,2
CUST0000046385,1,6.44,6.44,12,0,640,4121.6,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
CUST0000046733,2,4.12,2.06,5,34,153,315.18,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2
CUST0000046978,16,406.08,25.38,13.5,42.5625,708,17969.04,0.0625,0.3125,0.625,0,0.4375,0.5625,0,0.3125,0.625,0.0625,0,0.6875,0.3125,0,0,1
CUST0000047482,3,19.56,6.52,1.666666667,39.33333333,682,4446.64,0.666666667,0.333333333,0,0,0.666666667,0,0.333333333,0.666666667,0,0,0.333333333,0.333333333,0,0.333333333,0,2
CUST0000047511,3,18,6,4.666666667,125.6666667,662,3972,0,1,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0.333333333,0,0,0.666666667,0.333333333,0,0,1
CUST0000047700,9,139.16,15.46222222,9.444444444,90.44444444,822,12709.94667,0.444444444,0.333333333,0.222222222,0.222222222,0.777777778,0,0,0.666666667,0.333333333,0,0,0.555555556,0.444444444,0,0,1
CUST0000048395,46,728.9,15.84565217,17.84782609,13,604,9570.773913,0.130434783,0.326086957,0.543478261,0.043478261,0.673913043,0.239130435,0.043478261,0.413043478,0.434782609,0.130434783,0.02173913,0.782608696,0.086956522,0.065217391,0.043478261,1
CUST0000048521,36,284.24,7.895555556,6.277777778,20.63888889,775,6119.055556,0.222222222,0.638888889,0.138888889,0.194444444,0.361111111,0.416666667,0.027777778,0.694444444,0.305555556,0,0,0.666666667,0.111111111,0.083333333,0.138888889,1
CUST0000048934,2,38.98,19.49,17,0,306,5963.94,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,1
CUST0000049077,93,2033.88,21.86967742,14.66666667,8.709677419,819,17911.26581,0.021505376,0.333333333,0.64516129,0.086021505,0.64516129,0.268817204,0,0.139784946,0.591397849,0.268817204,0,0.688172043,0.290322581,0.010752688,0.010752688,1
CUST0000049643,11,165.12,15.01090909,13.54545455,70.09090909,818,12278.92364,0.090909091,0.454545455,0.454545455,0.909090909,0.090909091,0,0,0.454545455,0.272727273,0.272727273,0,0.181818182,0.363636364,0.363636364,0.090909091,1
CUST0000049674,37,504.76,13.64216216,9.810810811,20.48648649,808,11022.86703,0.243243243,0.27027027,0.486486486,0.189189189,0.459459459,0.189189189,0.162162162,0.459459459,0.405405405,0.081081081,0.054054054,0.27027027,0.351351351,0.135135135,0.189189189,1
CUST0000050375,1,21.52,21.52,14,0,358,7704.16,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
CUST0000050605,2,22.23,11.115,7,178,758,8425.17,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,1
CUST0000050780,2,11.48,5.74,4,165,504,2892.96,0,1,0,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0,0.5,0,1
CUST0000051508,1,4.12,4.12,5,0,529,2179.48,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
CUST0000051551,3,8.37,2.79,3.333333333,157,790,2204.1,0,1,0,0,0.666666667,0.333333333,0,1,0,0,0,0.666666667,0,0,0.333333333,2
CUST0000051582,1,10.79,10.79,7,0,751,8103.29,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
CUST0000051723,2,5.41,2.705,1.5,60,487,1317.335,1,0,0,0,1,0,0,1,0,0,0,0.5,0,0,0.5,2
CUST0000051771,6,14.46,2.41,1.166666667,122.1666667,775,1867.75,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
CUST0000052854,261,3608.62,13.82613027,10.87356322,3.107279693,820,11337.42682,0.287356322,0.325670498,0.38697318,0.183908046,0.655172414,0.134099617,0.026819923,0.46743295,0.279693487,0.249042146,0.003831418,0.30651341,0.394636015,0.195402299,0.099616858,1
CUST0000053261,3,38.47,12.82333333,12.33333333,64.33333333,454,5821.793333,0,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0,0.333333333,0.666666667,0,0,0.666666667,0.333333333,0,0,1
CUST0000053659,1,36.81,36.81,16,0,230,8466.3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
CUST0000053860,3,12.52,4.173333333,2,202,714,2979.76,0.666666667,0.333333333,0,0,1,0,0,0.666666667,0,0,0.333333333,0.666666667,0,0,0,2
CUST0000053927,53,1181.07,22.28433962,22.83018868,13.37735849,723,16111.57755,0.037735849,0.301886792,0.660377358,0.094339623,0.830188679,0.075471698,0,0.188679245,0.264150943,0.547169811,0,0.471698113,0.433962264,0.075471698,0.018867925,3
CUST0000053954,5,67.16,13.432,7.4,27.4,701,9415.832,0.2,0.4,0.4,0,0.4,0.4,0.2,0.2,0.8,0,0,0.4,0.4,0,0.2,1
CUST0000054072,1,13.26,13.26,9,0,504,6683.04,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
CUST0000054137,27,380.76,14.10222222,10.11111111,20.85185185,582,8207.493333,0.333333333,0.185185185,0.481481481,0.074074074,0.851851852,0.037037037,0.037037037,0.444444444,0.222222222,0.333333333,0,0.296296296,0.333333333,0.222222222,0.148148148,1
CUST0000054148,3,41.22,13.74,12.33333333,191.3333333,651,8944.74,0,0,1,0,0.333333333,0.666666667,0,0,1,0,0,0.666666667,0.333333333,0,0,1
CUST0000054182,2,1.44,0.72,2,103,280,201.6,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2
CUST0000054964,10,544.88,54.488,38.5,64.6,695,37869.16,0,0,1,0,1,0,0,0,0.5,0.5,0,0.2,0.4,0.4,0,3
